step,period,predicted,actual,abs_error
3,4,121676.0678,131588.0,9911.9322
4,5,129385.9512,131898.0,2512.0488
5,6,133959.3068,145878.0,11918.6932
6,7,145737.6578,134130.0,11607.6578
7,8,143714.9093,135432.0,8282.9093
8,9,140935.545,128027.0,12908.545
9,10,136161.7001,138332.0,2170.2999
10,11,137282.4231,154020.0,16737.5769
11,12,147739.4914,152303.0,4563.5086
12,13,152068.4064,129675.0,22393.4064
13,14,143355.6816,136669.0,6686.6816
14,15,141802.6795,140856.0,946.6795
15,16,141803.1574,141721.0,82.1574
16,17,141955.8889,161542.0,19586.1111
17,18,147955.9699,150217.0,2261.0301
18,19,149603.8265,155362.0,5758.1735
19,20,153079.4446,154246.0,1166.5554
