model,month,value,type
Naive,1,125168.0,known
ARIMA,1,125168.0,known
Analog_Only,1,125168.0,known
Bass_Only,1,125168.0,known
Analog_Bass_Static,1,125168.0,known
Analog_Bass_Adaptive,1,125168.0,known
Naive,2,135866.75,known
ARIMA,2,135866.75,known
Analog_Only,2,135866.75,known
Bass_Only,2,135866.75,known
Analog_Bass_Static,2,135866.75,known
Analog_Bass_Adaptive,2,135866.75,known
Naive,3,142199.8,known
ARIMA,3,142199.8,known
Analog_Only,3,142199.8,known
Bass_Only,3,142199.8,known
Analog_Bass_Static,3,142199.8,known
Analog_Bass_Adaptive,3,142199.8,known
Naive,4,148584.0,known
ARIMA,4,148584.0,known
Analog_Only,4,148584.0,known
Bass_Only,4,148584.0,known
Analog_Bass_Static,4,148584.0,known
Analog_Bass_Adaptive,4,148584.0,known
Naive,5,161937.0,known
ARIMA,5,161937.0,known
Analog_Only,5,161937.0,known
Bass_Only,5,161937.0,known
Analog_Bass_Static,5,161937.0,known
Analog_Bass_Adaptive,5,161937.0,known
Naive,6,161937.0,forecast
Naive,7,161937.0,forecast
Naive,8,161937.0,forecast
Naive,9,161937.0,forecast
Naive,10,161937.0,forecast
Naive,11,161937.0,forecast
Naive,12,161937.0,forecast
ARIMA,6,163252.213,forecast
ARIMA,7,163381.7559,forecast
ARIMA,8,163394.5153,forecast
ARIMA,9,163395.772,forecast
ARIMA,10,163395.8958,forecast
ARIMA,11,163395.908,forecast
ARIMA,12,163395.9092,forecast
Analog_Only,6,178763.5964,forecast
Analog_Only,7,196077.5881,forecast
Analog_Only,8,211767.07,forecast
Analog_Only,9,236081.9874,forecast
Analog_Only,10,245008.4243,forecast
Analog_Only,11,274406.3751,forecast
Analog_Only,12,284018.5303,forecast
Bass_Only,6,170450.6286,forecast
Bass_Only,7,180943.9991,forecast
Bass_Only,8,192028.4448,forecast
Bass_Only,9,203730.3773,forecast
Bass_Only,10,216076.5297,forecast
Bass_Only,11,229093.8403,forecast
Bass_Only,12,242809.321,forecast
Analog_Bass_Static,6,170336.1301,forecast
Analog_Bass_Static,7,180693.4504,forecast
Analog_Bass_Static,8,191581.6847,forecast
Analog_Bass_Static,9,203015.944,forecast
Analog_Bass_Static,10,215010.2772,forecast
Analog_Bass_Static,11,227577.4637,forecast
Analog_Bass_Static,12,240728.7951,forecast
Analog_Bass_Adaptive,6,170336.1301,forecast
Analog_Bass_Adaptive,7,180693.4504,forecast
Analog_Bass_Adaptive,8,191581.6847,forecast
Analog_Bass_Adaptive,9,203015.944,forecast
Analog_Bass_Adaptive,10,215010.2772,forecast
Analog_Bass_Adaptive,11,227577.4637,forecast
Analog_Bass_Adaptive,12,240728.7951,forecast
