held_out_drug,model,MAE,RMSE,MAPE,R2,MASE,Bias
ANL_001,Naive,75755.0333,86272.6752,42.1162,-3.3676,1.0,75755.0333
ANL_001,ARIMA,75843.7124,86350.4508,42.1741,-3.3754,1.0012,75843.7124
ANL_001,Analog_Only,8628.2784,10376.9928,5.1301,0.9368,0.1139,6655.5973
ANL_001,Bass_Only,63103.8322,73786.1202,34.4698,-2.1948,0.833,63103.8322
ANL_001,Analog_Bass_Static,63095.0034,73776.7663,34.4647,-2.194,0.8329,63095.0034
ANL_001,Analog_Bass_Adaptive,63095.0034,73776.7663,34.4647,-2.194,0.8329,63095.0034
ANL_002,Naive,106186.7667,122981.2882,51.745,-2.9297,1.0,106186.7667
ANL_002,ARIMA,106185.3135,122980.0321,51.7441,-2.9296,1.0,106185.3135
ANL_002,Analog_Only,12341.9888,15659.7908,6.1089,0.9363,0.1162,11531.3924
ANL_002,Bass_Only,79352.9332,96266.831,37.1695,-1.4079,0.7473,79352.9332
ANL_002,Analog_Bass_Static,79353.7337,96267.7016,37.1699,-1.4079,0.7473,79353.7337
ANL_002,Analog_Bass_Adaptive,79353.7337,96267.7016,37.1699,-1.4079,0.7473,79353.7337
ANL_003,Naive,132403.7667,153633.6534,40.2016,-2.8869,1.0,132403.7667
ANL_003,ARIMA,132436.8921,153662.2819,40.2136,-2.8883,1.0003,132436.8921
ANL_003,Analog_Only,96520.4505,110805.8359,29.6891,-1.0219,0.729,-96520.4505
ANL_003,Bass_Only,53813.7837,70562.4531,15.261,0.1801,0.4064,53175.826
ANL_003,Analog_Bass_Static,53805.7442,70552.7795,15.2587,0.1803,0.4064,53167.5589
ANL_003,Analog_Bass_Adaptive,53805.7442,70552.7795,15.2587,0.1803,0.4064,53167.5589
ANL_004,Naive,121770.0,142293.7453,37.6671,-2.6518,1.0,121255.8
ANL_004,ARIMA,121473.9681,142023.9489,37.5625,-2.638,0.9976,120939.611
ANL_004,Analog_Only,272955.847,305358.4905,87.2115,-15.8172,2.2416,-272955.847
ANL_004,Bass_Only,134542.3991,173570.8631,40.2492,-4.4336,1.1049,-134542.3991
ANL_004,Analog_Bass_Static,104990.7024,130860.8191,31.9456,-2.0885,0.8622,-104990.7024
ANL_004,Analog_Bass_Adaptive,104990.7024,130860.8191,31.9456,-2.0885,0.8622,-104990.7024
ANL_005,Naive,72024.2667,85330.9608,37.5736,-2.4775,1.0,72024.2667
ANL_005,ARIMA,71474.3947,84866.1552,37.228,-2.4397,0.9924,71474.3947
ANL_005,Analog_Only,22962.0149,26092.2935,13.0772,0.6749,0.3188,-22962.0149
ANL_005,Bass_Only,7254.0399,9804.6844,4.2926,0.9541,0.1007,-5174.1589
ANL_005,Analog_Bass_Static,7252.2888,9801.3869,4.2914,0.9541,0.1007,-5166.195
ANL_005,Analog_Bass_Adaptive,7252.2888,9801.3869,4.2914,0.9541,0.1007,-5166.195
ANL_006,Naive,212095.0,248690.6741,48.2012,-2.6677,1.0,212095.0
ANL_006,ARIMA,208250.0146,245401.977,47.0899,-2.5713,0.9819,208250.0146
ANL_006,Analog_Only,110909.0622,121913.2397,27.5237,0.1186,0.5229,-110821.1343
ANL_006,Bass_Only,158993.831,197237.1168,34.4437,-1.307,0.7496,158993.831
ANL_006,Analog_Bass_Static,158996.0164,197239.3319,34.4442,-1.3071,0.7496,158996.0164
ANL_006,Analog_Bass_Adaptive,158996.0164,197239.3319,34.4442,-1.3071,0.7496,158996.0164
ANL_007,Naive,30264.0667,35549.0535,38.424,-2.6333,1.0,30264.0667
ANL_007,ARIMA,29957.0611,35286.8292,37.9616,-2.5799,0.9899,29957.0611
ANL_007,Analog_Only,47877.838,55370.8234,61.7369,-7.8147,1.582,-47877.838
ANL_007,Bass_Only,28535.5666,33963.4717,35.9266,-2.3164,0.9429,28535.5666
ANL_007,Analog_Bass_Static,28535.5884,33963.4917,35.9266,-2.3164,0.9429,28535.5884
ANL_007,Analog_Bass_Adaptive,28535.5884,33963.4917,35.9266,-2.3164,0.9429,28535.5884
ANL_008,Naive,22270.7667,25655.6061,39.3401,-3.0574,1.0,22270.7667
ANL_008,ARIMA,22036.1322,25451.1417,38.8533,-2.993,0.9895,22036.1322
ANL_008,Analog_Only,8052.313,9986.4902,14.0623,0.3852,0.3616,-7878.7931
ANL_008,Bass_Only,13914.18,19068.267,23.1706,-1.2414,0.6248,-13842.0658
ANL_008,Analog_Bass_Static,16612.1902,23091.9794,27.463,-2.2871,0.7459,-16542.062
ANL_008,Analog_Bass_Adaptive,16612.1902,23091.9794,27.463,-2.2871,0.7459,-16542.062
ANL_009,Naive,44527.9667,51481.9889,40.0658,-2.9697,1.0,44527.9667
ANL_009,ARIMA,44170.5853,51171.7765,39.6869,-2.922,0.992,44170.5853
ANL_009,Analog_Only,34033.7334,37237.519,32.4839,-1.0769,0.7643,-34033.7334
ANL_009,Bass_Only,18065.4149,23251.3171,15.3876,0.1903,0.4057,17975.0014
ANL_009,Analog_Bass_Static,18065.3835,23251.2801,15.3876,0.1903,0.4057,17974.9697
ANL_009,Analog_Bass_Adaptive,18065.3835,23251.2801,15.3876,0.1903,0.4057,17974.9697
ANL_010,Naive,131412.2,153579.0093,38.359,-2.7336,1.0,131412.2
ANL_010,ARIMA,129768.7303,152167.6321,37.7865,-2.6653,0.9875,129768.7303
ANL_010,Analog_Only,84872.849,98272.1189,25.288,-0.5287,0.6459,-84872.849
ANL_010,Bass_Only,110916.9407,133694.2521,31.7551,-1.8294,0.844,110725.0344
