held_out_drug,model,MAE,RMSE,MAPE,R2,MASE,Bias
ANL_001,Naive,2782.6667,3185.1176,15.1543,-3.224,1.0,-2782.6667
ANL_001,ARIMA,2973.1163,3350.8476,16.1472,-3.675,1.0684,-2973.1163
ANL_001,Analog_Only,555.8533,646.1523,2.9916,0.8262,0.1998,182.3456
ANL_001,Bass_Only,292.9105,343.8022,1.4985,0.9508,0.1053,0.8726
ANL_001,Analog_Bass_Static,290.9843,341.3215,1.4889,0.9515,0.1046,0.8644
ANL_001,Analog_Bass_Adaptive,290.9843,341.3215,1.4889,0.9515,0.1046,0.8644
ANL_002,Naive,5118.3333,5856.7795,10.5942,-0.9815,1.0,-4122.0
ANL_002,ARIMA,5109.3511,5837.8146,10.5725,-0.9687,0.9982,-4094.9714
ANL_002,Analog_Only,4000.1383,4609.2046,8.1095,-0.2272,0.7815,4000.1383
ANL_002,Bass_Only,1783.5709,2145.3084,3.4376,0.7341,0.3485,1.1361
ANL_002,Analog_Bass_Static,1783.1796,2144.9901,3.4367,0.7342,0.3484,1.1286
ANL_002,Analog_Bass_Adaptive,1783.1796,2144.9901,3.4367,0.7342,0.3484,1.1286
ANL_003,Naive,18807.6667,22602.1291,41.4499,-2.2512,1.0,-18807.6667
ANL_003,ARIMA,20306.2615,23821.25,44.2828,-2.6114,1.0797,-20306.2615
ANL_003,Analog_Only,3956.7314,4842.6896,8.3519,0.8507,0.2104,-3467.0745
ANL_003,Bass_Only,1319.07,1467.8809,2.4096,0.9863,0.0701,1.6049
ANL_003,Analog_Bass_Static,1319.0702,1467.8809,2.4096,0.9863,0.0701,1.6049
ANL_003,Analog_Bass_Adaptive,1319.0702,1467.8809,2.4096,0.9863,0.0701,1.6049
ANL_004,Naive,10122.6667,11791.0068,15.3666,-2.8028,1.0,-10122.6667
ANL_004,ARIMA,10136.7481,11803.0955,15.387,-2.8106,1.0014,-10136.7481
ANL_004,Analog_Only,3208.0102,4597.5927,4.8409,0.4218,0.3169,2554.603
ANL_004,Bass_Only,1825.9349,2552.4149,2.7421,0.8218,0.1804,5.6595
ANL_004,Analog_Bass_Static,1825.3684,2551.9617,2.7413,0.8219,0.1803,5.656
ANL_004,Analog_Bass_Adaptive,1825.3684,2551.9617,2.7413,0.8219,0.1803,5.656
ANL_005,Naive,4702.3333,5886.3447,8.1975,-1.1001,1.0,-4260.3333
ANL_005,ARIMA,4698.356,5877.7033,8.1898,-1.094,0.9992,-4248.3653
ANL_005,Analog_Only,6005.4184,6989.5965,10.2186,-1.9611,1.2771,6005.4184
ANL_005,Bass_Only,1043.2225,1238.9487,1.7105,0.907,0.2219,0.2007
ANL_005,Analog_Bass_Static,1043.2226,1238.9487,1.7105,0.907,0.2219,0.2013
ANL_005,Analog_Bass_Adaptive,1043.2226,1238.9487,1.7105,0.907,0.2219,0.2013
ANL_006,Naive,8136.0,10662.1048,12.3263,-1.1352,1.0,-7774.3333
ANL_006,ARIMA,8549.0121,11113.9067,12.933,-1.32,1.0508,-8399.9976
ANL_006,Analog_Only,8245.7365,10095.1059,11.7002,-0.9142,1.0135,8245.7365
ANL_006,Bass_Only,2026.9427,2737.9248,2.651,0.8592,0.2491,0.6971
ANL_006,Analog_Bass_Static,2026.9476,2737.9248,2.651,0.8592,0.2491,0.697
ANL_006,Analog_Bass_Adaptive,2026.9476,2737.9248,2.651,0.8592,0.2491,0.697
ANL_007,Naive,20549.1667,23887.8339,83.3506,-2.8462,1.0,-20549.1667
ANL_007,ARIMA,30375.9143,32095.4097,114.1272,-5.9433,1.4782,-30375.9143
ANL_007,Analog_Only,11899.1085,13710.2704,47.0825,-0.267,0.5791,-11899.1085
ANL_007,Bass_Only,896.9423,1059.5124,3.0747,0.9924,0.0436,37.3191
ANL_007,Analog_Bass_Static,866.3427,1032.3911,2.9588,0.9928,0.0422,34.3019
ANL_007,Analog_Bass_Adaptive,866.3427,1032.3911,2.9588,0.9928,0.0422,34.3019
ANL_008,Naive,24974.3333,29917.7394,16.5721,-2.2985,1.0,-24974.3333
ANL_008,ARIMA,27276.4589,31810.5707,17.994,-2.7291,1.0922,-27276.4589
ANL_008,Analog_Only,3026.4338,3807.4265,1.9308,0.9466,0.1212,2201.839
ANL_008,Bass_Only,2705.7015,2823.3697,1.6936,0.9706,0.1083,-1.9471
ANL_008,Analog_Bass_Static,2705.7016,2823.3697,1.6936,0.9706,0.1083,-1.9472
ANL_008,Analog_Bass_Adaptive,2705.7016,2823.3697,1.6936,0.9706,0.1083,-1.9472
ANL_009,Naive,11046.1667,13130.443,40.7807,-2.4214,1.0,-11046.1667
ANL_009,ARIMA,13667.4568,15290.7089,49.0312,-3.6399,1.2373,-13667.4568
ANL_009,Analog_Only,3727.6638,4679.6698,13.8938,0.5654,0.3375,-3727.6638
ANL_009,Bass_Only,715.0795,929.8906,2.0563,0.9828,0.0647,-2.1077
ANL_009,Analog_Bass_Static,715.079,929.8906,2.0563,0.9828,0.0647,-2.1077
ANL_009,Analog_Bass_Adaptive,715.079,929.8906,2.0563,0.9828,0.0647,-2.1077
ANL_010,Naive,26303.0,29175.4095,11.9439,-4.3415,1.0,-26303.0
ANL_010,ARIMA,26925.1775,29736.5623,12.2195,-4.549,1.0237,-26925.1775
ANL_010,Analog_Only,29763.3169,37261.9863,13.604,-7.7129,1.1316,27551.6922
ANL_010,Bass_Only,4952.6851,6737.4763,2.1335,0.7151,0.1883,3.4288
ANL_010,Analog_Bass_Static,4959.2633,6753.4439,2.1358,0.7138,0.1885,3.5405
ANL_010,Analog_Bass_Adaptive,4959.2633,6753.4439,2.1358,0.7138,0.1885,3.5405
ANL_011,Naive,19520.0,25957.6601,16.4009,-1.3015,1.0,-19520.0
ANL_011,ARIMA,21512.758,27444.8533,17.8913,-1.5727,1.1021,-21512.758
ANL_011,Analog_Only,7043.3336,10261.6492,5.0987,0.6403,0.3608,3875.4953
ANL_011,Bass_Only,4637.6402,5924.3112,3.2906,0.8801,0.2376,4.4533
ANL_011,Analog_Bass_Static,4637.6581,5924.3112,3.2906,0.8801,0.2376,4.453
ANL_011,Analog_Bass_Adaptive,4637.6581,5924.3112,3.2906,0.8801,0.2376,4.453
ANL_012,Naive,4789.3333,5843.8413,12.6465,-2.0457,1.0,-4789.3333
ANL_012,ARIMA,5079.2963,6077.1842,13.3669,-2.2938,1.0605,-5079.2963
ANL_012,Analog_Only,2163.5412,2436.9631,5.4567,0.4704,0.4517,2163.5412
ANL_012,Bass_Only,229.5915,271.5631,0.585,0.9934,0.0479,-0.086
ANL_012,Analog_Bass_Static,229.5916,271.5631,0.585,0.9934,0.0479,-0.086
ANL_012,Analog_Bass_Adaptive,229.5916,271.5631,0.585,0.9934,0.0479,-0.086
ANL_013,Naive,12798.8333,15860.6153,11.9806,-1.8668,1.0,-12798.8333
ANL_013,ARIMA,13208.9153,16184.693,12.3411,-1.9852,1.032,-13208.9153
ANL_013,Analog_Only,4709.9906,5824.5297,4.1525,0.6134,0.368,3945.7422
ANL_013,Bass_Only,2258.8304,2726.228,2.0334,0.9153,0.1765,-0.5504
ANL_013,Analog_Bass_Static,2258.8315,2726.228,2.0335,0.9153,0.1765,-0.5501
ANL_013,Analog_Bass_Adaptive,2258.8315,2726.228,2.0335,0.9153,0.1765,-0.5501
ANL_014,Naive,10553.3333,12776.4185,28.4165,-2.1474,1.0,-10553.3333
ANL_014,ARIMA,10805.7786,12982.9021,29.0255,-2.25,1.0239,-10805.7786
ANL_014,Analog_Only,3460.4796,4329.6571,9.2933,0.6386,0.3279,-3460.4796
ANL_014,Bass_Only,1029.2316,1192.855,2.4601,0.9726,0.0975,3.5989
ANL_014,Analog_Bass_Static,1029.445,1192.1165,2.4597,0.9726,0.0975,3.5384
ANL_014,Analog_Bass_Adaptive,1029.445,1192.1165,2.4597,0.9726,0.0975,3.5384
ANL_015,Naive,4937.1667,6248.8516,11.5194,-1.6613,1.0,-4937.1667
ANL_015,ARIMA,5182.6704,6441.6223,12.055,-1.828,1.0497,-5182.6704
ANL_015,Analog_Only,1240.9577,1747.4298,2.7375,0.7919,0.2514,1240.9577
ANL_015,Bass_Only,921.144,1079.7174,1.9882,0.9205,0.1866,0.0826
ANL_015,Analog_Bass_Static,921.1441,1079.7174,1.9882,0.9205,0.1866,0.0826
ANL_015,Analog_Bass_Adaptive,921.1441,1079.7174,1.9882,0.9205,0.1866,0.0826
ANL_016,Naive,11014.0,12804.7493,63.8827,-2.844,1.0,-11014.0
ANL_016,ARIMA,15084.3229,16216.8059,83.1507,-5.1656,1.3696,-15084.3229
ANL_016,Analog_Only,5077.2961,5759.489,28.5596,0.2223,0.461,-5077.2961
ANL_016,Bass_Only,317.7947,412.0825,1.5473,0.996,0.0289,12.2909
ANL_016,Analog_Bass_Static,298.6862,389.9131,1.4576,0.9964,0.0271,11.2318
ANL_016,Analog_Bass_Adaptive,298.6862,389.9131,1.4576,0.9964,0.0271,11.2318
ANL_017,Naive,24780.6667,29073.6764,66.1671,-2.6561,1.0,-24780.6667
ANL_017,ARIMA,34556.9468,37123.2422,86.8575,-4.9609,1.3945,-34556.9468
ANL_017,Analog_Only,7772.3666,9038.4201,20.6206,0.6467,0.3136,-7772.3666
ANL_017,Bass_Only,830.8988,998.7214,2.0228,0.9957,0.0335,7.2027
ANL_017,Analog_Bass_Static,825.7542,992.4879,2.0229,0.9957,0.0333,5.7783
ANL_017,Analog_Bass_Adaptive,825.7542,992.4879,2.0229,0.9957,0.0333,5.7783
ANL_018,Naive,11604.6667,14287.386,49.2807,-1.9388,1.0,-11604.6667
ANL_018,ARIMA,13642.5958,15841.3839,56.1579,-2.6128,1.1756,-13642.5958
ANL_018,Analog_Only,2547.2061,3206.2582,10.8365,0.852,0.2195,-1604.8923
ANL_018,Bass_Only,530.093,631.5925,1.7482,0.9943,0.0457,4.3962
ANL_018,Analog_Bass_Static,530.0935,631.5925,1.7482,0.9943,0.0457,4.3962
ANL_018,Analog_Bass_Adaptive,530.0935,631.5925,1.7482,0.9943,0.0457,4.3962
ANL_019,Naive,18602.1667,22088.0893,38.1235,-2.4396,1.0,-18602.1667
ANL_019,ARIMA,21267.6924,24273.4421,42.8701,-3.1539,1.1433,-21267.6924
ANL_019,Analog_Only,4395.6678,5245.4599,8.9711,0.806,0.2363,-3878.8896
ANL_019,Bass_Only,899.594,1061.6615,1.638,0.9921,0.0484,4.8352
ANL_019,Analog_Bass_Static,903.7937,1056.7295,1.6454,0.9921,0.0486,4.4242
ANL_019,Analog_Bass_Adaptive,903.7937,1056.7295,1.6454,0.9921,0.0486,4.4242
ANL_020,Naive,18038.6667,20415.0476,16.2355,-3.5609,1.0,-18038.6667
ANL_020,ARIMA,18215.5082,20571.3068,16.3883,-3.6309,1.0098,-18215.5082
ANL_020,Analog_Only,2465.2574,3701.568,2.1975,0.8501,0.1367,-789.4455
ANL_020,Bass_Only,2689.9485,3386.2881,2.2657,0.8745,0.1491,4.1581
ANL_020,Analog_Bass_Static,2690.5506,3387.9091,2.2661,0.8744,0.1492,4.1686
ANL_020,Analog_Bass_Adaptive,2690.5506,3387.9091,2.2661,0.8744,0.1492,4.1686
ANL_021,Naive,12837.8333,14775.9199,18.5886,-3.0795,1.0,-12837.8333
ANL_021,ARIMA,12949.5767,14872.9733,18.742,-3.1333,1.0087,-12949.5767
ANL_021,Analog_Only,4707.4767,6844.8453,6.8712,0.1246,0.3667,4423.9721
ANL_021,Bass_Only,2473.4329,2673.8082,3.3452,0.8664,0.1927,3.7971
ANL_021,Analog_Bass_Static,2474.2027,2674.3799,3.3462,0.8664,0.1927,3.8024
ANL_021,Analog_Bass_Adaptive,2474.2027,2674.3799,3.3462,0.8664,0.1927,3.8024
ANL_022,Naive,30881.1667,34939.413,48.6447,-3.5702,1.0,-30881.1667
ANL_022,ARIMA,34718.9259,38325.4678,54.0826,-4.4989,1.1243,-34718.9259
ANL_022,Analog_Only,14880.0866,16558.5998,23.152,-0.0265,0.4818,-14880.0866
ANL_022,Bass_Only,3341.8798,4071.2332,4.4882,0.9379,0.1082,63.0514
ANL_022,Analog_Bass_Static,3334.2884,4058.4632,4.4785,0.9383,0.108,62.7371
ANL_022,Analog_Bass_Adaptive,3334.2884,4058.4632,4.4785,0.9383,0.108,62.7371
ANL_023,Naive,13138.6667,15867.9966,9.8609,-2.1805,1.0,-13138.6667
ANL_023,ARIMA,13270.1637,15976.8258,9.9555,-2.2242,1.01,-13270.1637
ANL_023,Analog_Only,15432.4298,17517.9895,11.4295,-2.8763,1.1746,15432.4298
ANL_023,Bass_Only,2215.7324,2692.4391,1.5747,0.9084,0.1686,0.0567
ANL_023,Analog_Bass_Static,2215.7331,2692.4391,1.5747,0.9084,0.1686,0.0566
ANL_023,Analog_Bass_Adaptive,2215.7331,2692.4391,1.5747,0.9084,0.1686,0.0566
ANL_024,Naive,2079.3333,2601.2322,14.1478,-1.77,1.0,-2079.3333
ANL_024,ARIMA,2544.1728,2957.5281,17.0434,-2.5807,1.2236,-2544.1728
ANL_024,Analog_Only,651.9368,814.8268,4.3043,0.7282,0.3135,651.9368
ANL_024,Bass_Only,316.2318,365.3095,2.0252,0.9454,0.1521,-0.3056
ANL_024,Analog_Bass_Static,316.2319,365.3095,2.0252,0.9454,0.1521,-0.3056
ANL_024,Analog_Bass_Adaptive,316.2319,365.3095,2.0252,0.9454,0.1521,-0.3056
ANL_025,Naive,18488.8333,21831.5207,33.2944,-2.5363,1.0,-18488.8333
ANL_025,ARIMA,20982.8328,23900.1666,37.275,-3.2382,1.1349,-20982.8328
