drug_id,month,sales_units
ANALOG_1,1,1416
ANALOG_1,2,3447
ANALOG_1,3,2154
ANALOG_1,4,4350
ANALOG_1,5,3591
ANALOG_1,6,3922
ANALOG_1,7,2021
ANALOG_1,8,3543
ANALOG_1,9,2216
ANALOG_1,10,4105
ANALOG_1,11,4810
ANALOG_1,12,232
ANALOG_1,13,3659
ANALOG_1,14,937
ANALOG_1,15,4466
ANALOG_1,16,3711
ANALOG_1,17,1616
ANALOG_1,18,4989
ANALOG_1,19,2437
ANALOG_1,20,582
ANALOG_1,21,479
ANALOG_1,22,1318
ANALOG_1,23,3826
ANALOG_1,24,3701
ANALOG_2,1,2572
ANALOG_2,2,692
ANALOG_2,3,4273
ANALOG_2,4,3004
ANALOG_2,5,2628
ANALOG_2,6,733
ANALOG_2,7,3373
ANALOG_2,8,3454
ANALOG_2,9,2396
ANALOG_2,10,1264
ANALOG_2,11,1259
ANALOG_2,12,4668
ANALOG_2,13,4946
ANALOG_2,14,3809
ANALOG_2,15,2538
ANALOG_2,16,1694
ANALOG_2,17,3135
ANALOG_2,18,4163
ANALOG_2,19,3651
ANALOG_2,20,4959
ANALOG_2,21,2134
ANALOG_2,22,2438
ANALOG_2,23,3422
ANALOG_2,24,378
ANALOG_3,1,2542
ANALOG_3,2,1474
ANALOG_3,3,1278
ANALOG_3,4,4039
ANALOG_3,5,3846
ANALOG_3,6,1010
ANALOG_3,7,1167
ANALOG_3,8,916
ANALOG_3,9,4560
ANALOG_3,10,755
ANALOG_3,11,133
ANALOG_3,12,2790
ANALOG_3,13,4084
ANALOG_3,14,2124
ANALOG_3,15,4496
ANALOG_3,16,156
ANALOG_3,17,1893
ANALOG_3,18,3676
ANALOG_3,19,3806
ANALOG_3,20,4581
ANALOG_3,21,1535
ANALOG_3,22,614
ANALOG_3,23,1421
ANALOG_3,24,3584
ANALOG_4,1,4801
ANALOG_4,2,2060
ANALOG_4,3,1270
ANALOG_4,4,4841
ANALOG_4,5,917
ANALOG_4,6,1279
ANALOG_4,7,850
ANALOG_4,8,2132
ANALOG_4,9,2304
ANALOG_4,10,1672
ANALOG_4,11,3256
ANALOG_4,12,2194
ANALOG_4,13,691
ANALOG_4,14,2519
ANALOG_4,15,1681
ANALOG_4,16,4421
ANALOG_4,17,363
ANALOG_4,18,4531
ANALOG_4,19,3795
ANALOG_4,20,1764
ANALOG_4,21,181
ANALOG_4,22,3946
ANALOG_4,23,2614
ANALOG_4,24,1799
ANALOG_5,1,3758
ANALOG_5,2,3358
ANALOG_5,3,173
ANALOG_5,4,4107
ANALOG_5,5,948
ANALOG_5,6,1672
ANALOG_5,7,1212
ANALOG_5,8,1966
ANALOG_5,9,3480
ANALOG_5,10,2018
ANALOG_5,11,1998
ANALOG_5,12,686
ANALOG_5,13,3690
ANALOG_5,14,3850
ANALOG_5,15,1155
ANALOG_5,16,3103
ANALOG_5,17,4588
ANALOG_5,18,2142
ANALOG_5,19,3958
ANALOG_5,20,436
