drug_id,month,sales_units
NEW_DRUG_1,1,645
NEW_DRUG_1,2,1024
NEW_DRUG_1,3,273
NEW_DRUG_1,4,573
NEW_DRUG_1,5,1415
NEW_DRUG_1,6,1190
NEW_DRUG_1,7,776
NEW_DRUG_1,8,525
NEW_DRUG_1,9,1234
NEW_DRUG_1,10,366
NEW_DRUG_1,11,598
NEW_DRUG_1,12,182
NEW_DRUG_2,1,719
NEW_DRUG_2,2,705
NEW_DRUG_2,3,252
NEW_DRUG_2,4,761
NEW_DRUG_2,5,1186
NEW_DRUG_2,6,811
NEW_DRUG_2,7,926
NEW_DRUG_2,8,147
NEW_DRUG_2,9,1307
NEW_DRUG_2,10,437
NEW_DRUG_2,11,1471
NEW_DRUG_2,12,1632
NEW_DRUG_3,1,1182
NEW_DRUG_3,2,593
NEW_DRUG_3,3,541
NEW_DRUG_3,4,1963
NEW_DRUG_3,5,121
NEW_DRUG_3,6,1739
NEW_DRUG_3,7,1251
NEW_DRUG_3,8,1945
NEW_DRUG_3,9,555
NEW_DRUG_3,10,1154
NEW_DRUG_3,11,806
NEW_DRUG_3,12,812
NEW_DRUG_4,1,1618
NEW_DRUG_4,2,1766
NEW_DRUG_4,3,1517
NEW_DRUG_4,4,1051
NEW_DRUG_4,5,1517
NEW_DRUG_4,6,1184
NEW_DRUG_4,7,1293
NEW_DRUG_4,8,721
NEW_DRUG_4,9,330
NEW_DRUG_4,10,436
NEW_DRUG_4,11,70
NEW_DRUG_4,12,337
NEW_DRUG_5,1,1623
NEW_DRUG_5,2,641
NEW_DRUG_5,3,1341
NEW_DRUG_5,4,1347
NEW_DRUG_5,5,775
NEW_DRUG_5,6,172
NEW_DRUG_5,7,1607
NEW_DRUG_5,8,732
NEW_DRUG_5,9,366
NEW_DRUG_5,10,1361
NEW_DRUG_5,11,977
NEW_DRUG_5,12,562
