new_drug_id,analog_drug_id,similarity,rank
NEW_DRUG_1,ANALOG_3,0.5107336915248382,1
NEW_DRUG_1,ANALOG_4,0.9590627192169474,2
NEW_DRUG_1,ANALOG_6,0.646069049715946,3
NEW_DRUG_1,ANALOG_5,0.26948365764722704,4
NEW_DRUG_1,ANALOG_7,0.6106478146970484,5
NEW_DRUG_2,ANALOG_5,0.706622340436628,1
NEW_DRUG_2,ANALOG_6,0.7105116248733399,2
NEW_DRUG_2,ANALOG_4,0.8789227033474308,3
NEW_DRUG_2,ANALOG_3,0.11225938841963912,4
NEW_DRUG_2,ANALOG_9,0.12487723584933297,5
NEW_DRUG_3,ANALOG_6,0.6263198815359404,1
NEW_DRUG_3,ANALOG_8,0.6154387578359711,2
NEW_DRUG_3,ANALOG_9,0.5083684464696471,3
NEW_DRUG_3,ANALOG_5,0.8269139203142866,4
NEW_DRUG_3,ANALOG_2,0.4504265112495345,5
NEW_DRUG_4,ANALOG_5,0.08529230680634026,1
NEW_DRUG_4,ANALOG_1,0.7425777802594852,2
NEW_DRUG_4,ANALOG_4,0.45479056917434635,3
NEW_DRUG_4,ANALOG_3,0.11900507975345453,4
NEW_DRUG_4,ANALOG_10,0.7682948685295837,5
NEW_DRUG_5,ANALOG_3,0.3465497978386285,1
NEW_DRUG_5,ANALOG_1,0.9040959145705125,2
NEW_DRUG_5,ANALOG_2,0.05699378560928903,3
NEW_DRUG_5,ANALOG_9,0.44505023458082804,4
NEW_DRUG_5,ANALOG_4,0.7640967720344206,5
