drug_id,month,forecasted_sales_units
NEW_DRUG_1,1,3277
NEW_DRUG_1,2,3640
NEW_DRUG_1,3,3175
NEW_DRUG_1,4,3416
NEW_DRUG_1,5,3134
NEW_DRUG_1,6,3391
NEW_DRUG_1,7,3585
NEW_DRUG_1,8,3671
NEW_DRUG_1,9,4212
NEW_DRUG_1,10,4318
NEW_DRUG_1,11,4795
NEW_DRUG_1,12,5256
NEW_DRUG_1,13,5645
NEW_DRUG_1,14,7043
NEW_DRUG_1,15,8444
NEW_DRUG_1,16,10470
NEW_DRUG_1,17,12060
NEW_DRUG_1,18,14495
NEW_DRUG_1,19,17597
NEW_DRUG_1,20,21238
NEW_DRUG_1,21,26510
NEW_DRUG_1,22,31352
NEW_DRUG_1,23,36677
NEW_DRUG_1,24,43628
NEW_DRUG_1,25,49499
NEW_DRUG_1,26,57155
NEW_DRUG_1,27,64598
NEW_DRUG_1,28,71382
NEW_DRUG_1,29,79616
NEW_DRUG_1,30,87510
NEW_DRUG_1,31,95242
NEW_DRUG_1,32,102156
NEW_DRUG_1,33,108537
NEW_DRUG_1,34,116284
NEW_DRUG_1,35,122899
NEW_DRUG_1,36,127489
NEW_DRUG_2,1,2258
NEW_DRUG_2,2,2812
NEW_DRUG_2,3,3153
NEW_DRUG_2,4,3732
NEW_DRUG_2,5,4161
NEW_DRUG_2,6,5227
NEW_DRUG_2,7,6037
NEW_DRUG_2,8,6948
NEW_DRUG_2,9,8556
NEW_DRUG_2,10,9812
NEW_DRUG_2,11,11718
NEW_DRUG_2,12,13174
NEW_DRUG_2,13,14934
NEW_DRUG_2,14,17627
NEW_DRUG_2,15,19504
NEW_DRUG_2,16,22088
NEW_DRUG_2,17,25381
NEW_DRUG_2,18,28173
NEW_DRUG_2,19,31178
NEW_DRUG_2,20,35777
NEW_DRUG_2,21,38760
NEW_DRUG_2,22,42725
NEW_DRUG_2,23,46399
NEW_DRUG_2,24,50983
NEW_DRUG_2,25,54957
NEW_DRUG_2,26,59638
NEW_DRUG_2,27,63940
NEW_DRUG_2,28,69161
NEW_DRUG_2,29,73047
NEW_DRUG_2,30,78015
NEW_DRUG_2,31,82712
NEW_DRUG_2,32,87534
NEW_DRUG_2,33,92619
NEW_DRUG_2,34,97217
NEW_DRUG_2,35,101640
NEW_DRUG_2,36,106128
NEW_DRUG_3,1,2325
NEW_DRUG_3,2,2885
NEW_DRUG_3,3,3323
NEW_DRUG_3,4,3646
NEW_DRUG_3,5,4399
NEW_DRUG_3,6,5237
NEW_DRUG_3,7,6343
NEW_DRUG_3,8,8018
NEW_DRUG_3,9,9669
NEW_DRUG_3,10,11519
NEW_DRUG_3,11,14042
NEW_DRUG_3,12,16621
NEW_DRUG_3,13,19065
NEW_DRUG_3,14,22414
NEW_DRUG_3,15,26157
NEW_DRUG_3,16,30210
NEW_DRUG_3,17,34671
NEW_DRUG_3,18,39609
NEW_DRUG_3,19,43941
NEW_DRUG_3,20,49778
NEW_DRUG_3,21,55202
NEW_DRUG_3,22,61539
NEW_DRUG_3,23,66586
NEW_DRUG_3,24,73005
NEW_DRUG_3,25,79070
NEW_DRUG_3,26,84721
NEW_DRUG_3,27,90815
NEW_DRUG_3,28,96652
NEW_DRUG_3,29,102817
NEW_DRUG_3,30,109139
NEW_DRUG_3,31,114491
NEW_DRUG_3,32,120476
NEW_DRUG_3,33,126603
NEW_DRUG_3,34,131495
NEW_DRUG_3,35,137061
NEW_DRUG_3,36,142585
NEW_DRUG_4,1,3014
NEW_DRUG_4,2,3206
NEW_DRUG_4,3,4057
NEW_DRUG_4,4,3969
NEW_DRUG_4,5,4745
NEW_DRUG_4,6,5507
NEW_DRUG_4,7,6418
NEW_DRUG_4,8,7520
NEW_DRUG_4,9,8690
NEW_DRUG_4,10,9829
NEW_DRUG_4,11,11523
NEW_DRUG_4,12,12497
NEW_DRUG_4,13,14963
NEW_DRUG_4,14,16808
NEW_DRUG_4,15,18908
NEW_DRUG_4,16,21868
NEW_DRUG_4,17,23828
NEW_DRUG_4,18,26665
NEW_DRUG_4,19,29747
NEW_DRUG_4,20,33338
NEW_DRUG_4,21,36460
NEW_DRUG_4,22,39804
NEW_DRUG_4,23,44507
NEW_DRUG_4,24,47908
NEW_DRUG_4,25,51869
NEW_DRUG_4,26,56042
NEW_DRUG_4,27,60287
NEW_DRUG_4,28,64975
NEW_DRUG_4,29,68800
NEW_DRUG_4,30,73149
NEW_DRUG_4,31,78235
NEW_DRUG_4,32,82365
NEW_DRUG_4,33,87881
NEW_DRUG_4,34,90605
NEW_DRUG_4,35,97512
NEW_DRUG_4,36,100583
NEW_DRUG_5,1,3933
NEW_DRUG_5,2,4168
NEW_DRUG_5,3,4297
NEW_DRUG_5,4,4632
NEW_DRUG_5,5,4627
NEW_DRUG_5,6,5433
NEW_DRUG_5,7,5866
NEW_DRUG_5,8,5966
NEW_DRUG_5,9,7349
NEW_DRUG_5,10,8076
NEW_DRUG_5,11,8319
NEW_DRUG_5,12,9815
NEW_DRUG_5,13,11010
NEW_DRUG_5,14,12860
NEW_DRUG_5,15,14546
NEW_DRUG_5,16,16671
NEW_DRUG_5,17,18809
NEW_DRUG_5,18,21487
NEW_DRUG_5,19,23929
NEW_DRUG_5,20,26537
NEW_DRUG_5,21,30171
NEW_DRUG_5,22,33535
NEW_DRUG_5,23,37122
NEW_DRUG_5,24,39913
NEW_DRUG_5,25,44276
NEW_DRUG_5,26,48075
NEW_DRUG_5,27,52289
NEW_DRUG_5,28,57055
NEW_DRUG_5,29,60551
NEW_DRUG_5,30,64430
NEW_DRUG_5,31,69159
NEW_DRUG_5,32,73014
NEW_DRUG_5,33,76866
NEW_DRUG_5,34,81205
NEW_DRUG_5,35,85740
NEW_DRUG_5,36,88479
