drug_id,month,forecasted_sales_units
NEW_DRUG_1,1,11514
NEW_DRUG_1,2,12430
NEW_DRUG_1,3,13686
NEW_DRUG_1,4,14585
NEW_DRUG_1,5,15171
NEW_DRUG_1,6,17278
NEW_DRUG_1,7,17857
NEW_DRUG_1,8,20715
NEW_DRUG_1,9,22369
NEW_DRUG_1,10,24158
NEW_DRUG_1,11,26927
NEW_DRUG_1,12,29688
NEW_DRUG_1,13,32592
NEW_DRUG_1,14,36212
NEW_DRUG_1,15,39690
NEW_DRUG_1,16,42533
NEW_DRUG_1,17,45595
NEW_DRUG_1,18,49333
NEW_DRUG_1,19,53450
NEW_DRUG_1,20,58042
NEW_DRUG_1,21,62054
NEW_DRUG_1,22,66185
NEW_DRUG_1,23,69710
NEW_DRUG_1,24,73766
NEW_DRUG_1,25,77229
NEW_DRUG_1,26,81009
NEW_DRUG_1,27,83422
NEW_DRUG_1,28,88096
NEW_DRUG_1,29,90200
NEW_DRUG_1,30,94604
NEW_DRUG_1,31,96366
NEW_DRUG_1,32,98526
NEW_DRUG_1,33,100950
NEW_DRUG_1,34,103247
NEW_DRUG_1,35,104645
NEW_DRUG_1,36,105602
NEW_DRUG_2,1,14298
NEW_DRUG_2,2,14986
NEW_DRUG_2,3,18345
NEW_DRUG_2,4,22203
NEW_DRUG_2,5,25294
NEW_DRUG_2,6,30778
NEW_DRUG_2,7,36476
NEW_DRUG_2,8,42783
NEW_DRUG_2,9,47752
NEW_DRUG_2,10,53625
NEW_DRUG_2,11,61303
NEW_DRUG_2,12,68036
NEW_DRUG_2,13,73101
NEW_DRUG_2,14,78772
NEW_DRUG_2,15,83485
NEW_DRUG_2,16,87846
NEW_DRUG_2,17,91249
NEW_DRUG_2,18,93946
NEW_DRUG_2,19,96094
NEW_DRUG_2,20,98249
NEW_DRUG_2,21,99235
NEW_DRUG_2,22,100733
NEW_DRUG_2,23,100976
NEW_DRUG_2,24,101865
NEW_DRUG_2,25,102815
NEW_DRUG_2,26,102659
NEW_DRUG_2,27,104063
NEW_DRUG_2,28,104662
NEW_DRUG_2,29,104364
