drug_id,month,forecasted_sales_units
NEW_DRUG_1,1,3896
NEW_DRUG_1,2,3908
NEW_DRUG_1,3,4032
NEW_DRUG_1,4,4153
NEW_DRUG_1,5,4402
NEW_DRUG_1,6,4818
NEW_DRUG_1,7,4629
NEW_DRUG_1,8,4723
NEW_DRUG_1,9,4705
NEW_DRUG_1,10,5160
NEW_DRUG_1,11,5436
NEW_DRUG_1,12,5392
NEW_DRUG_1,13,5406
NEW_DRUG_1,14,5663
NEW_DRUG_1,15,6033
NEW_DRUG_1,16,5272
NEW_DRUG_1,17,5870
NEW_DRUG_1,18,5498
NEW_DRUG_1,19,6292
NEW_DRUG_1,20,6170
NEW_DRUG_1,21,7097
NEW_DRUG_1,22,6899
NEW_DRUG_1,23,6908
NEW_DRUG_1,24,6888
NEW_DRUG_1,25,6984
NEW_DRUG_1,26,6893
NEW_DRUG_1,27,7548
NEW_DRUG_1,28,7940
NEW_DRUG_1,29,7557
NEW_DRUG_1,30,7348
NEW_DRUG_1,31,8009
NEW_DRUG_1,32,7910
NEW_DRUG_1,33,8348
NEW_DRUG_1,34,8439
NEW_DRUG_1,35,8380
NEW_DRUG_1,36,8426
NEW_DRUG_2,1,6190
NEW_DRUG_2,2,5967
NEW_DRUG_2,3,6147
NEW_DRUG_2,4,5230
NEW_DRUG_2,5,6138
NEW_DRUG_2,6,5993
NEW_DRUG_2,7,6193
NEW_DRUG_2,8,6086
NEW_DRUG_2,9,6826
NEW_DRUG_2,10,6615
NEW_DRUG_2,11,6204
NEW_DRUG_2,12,6952
NEW_DRUG_2,13,6793
NEW_DRUG_2,14,6325
NEW_DRUG_2,15,7269
NEW_DRUG_2,16,6760
NEW_DRUG_2,17,6750
NEW_DRUG_2,18,7024
NEW_DRUG_2,19,6786
NEW_DRUG_2,20,6871
NEW_DRUG_2,21,7243
NEW_DRUG_2,22,7238
NEW_DRUG_2,23,7200
NEW_DRUG_2,24,7408
NEW_DRUG_2,25,6763
NEW_DRUG_2,26,7305
NEW_DRUG_2,27,7593
NEW_DRUG_2,28,7730
NEW_DRUG_2,29,7887
NEW_DRUG_2,30,7951
NEW_DRUG_2,31,8557
NEW_DRUG_2,32,8322
NEW_DRUG_2,33,8406
NEW_DRUG_2,34,8182
NEW_DRUG_2,35,8030
NEW_DRUG_2,36,8481
NEW_DRUG_3,1,2226
NEW_DRUG_3,2,2676
NEW_DRUG_3,3,1769
NEW_DRUG_3,4,1732
NEW_DRUG_3,5,2349
NEW_DRUG_3,6,1883
NEW_DRUG_3,7,2259
NEW_DRUG_3,8,2696
NEW_DRUG_3,9,2850
NEW_DRUG_3,10,2664
NEW_DRUG_3,11,2896
NEW_DRUG_3,12,2478
NEW_DRUG_3,13,2624
NEW_DRUG_3,14,3108
NEW_DRUG_3,15,2482
NEW_DRUG_3,16,2605
NEW_DRUG_3,17,2703
NEW_DRUG_3,18,3024
NEW_DRUG_3,19,2614
NEW_DRUG_3,20,2771
NEW_DRUG_3,21,3765
NEW_DRUG_3,22,3182
NEW_DRUG_3,23,3084
NEW_DRUG_3,24,2638
NEW_DRUG_3,25,3395
NEW_DRUG_3,26,3105
NEW_DRUG_3,27,3290
NEW_DRUG_3,28,2743
NEW_DRUG_3,29,3379
NEW_DRUG_3,30,4092
NEW_DRUG_3,31,3158
