drug_id,month,forecasted_sales_units
NEW_DRUG_1,1,3111
NEW_DRUG_1,2,3623
NEW_DRUG_1,3,3490
NEW_DRUG_1,4,3947
NEW_DRUG_1,5,3680
NEW_DRUG_1,6,3470
NEW_DRUG_1,7,3552
NEW_DRUG_1,8,3415
NEW_DRUG_1,9,2749
NEW_DRUG_1,10,2646
NEW_DRUG_1,11,2842
NEW_DRUG_1,12,2927
NEW_DRUG_1,13,3126
NEW_DRUG_1,14,3888
NEW_DRUG_1,15,3706
NEW_DRUG_1,16,4074
NEW_DRUG_1,17,3710
NEW_DRUG_1,18,3448
NEW_DRUG_1,19,3288
NEW_DRUG_1,20,2965
NEW_DRUG_1,21,2856
NEW_DRUG_1,22,3243
NEW_DRUG_1,23,2810
NEW_DRUG_1,24,3318
NEW_DRUG_1,25,3830
NEW_DRUG_1,26,3607
NEW_DRUG_1,27,4153
NEW_DRUG_1,28,3952
NEW_DRUG_1,29,3770
NEW_DRUG_1,30,3256
NEW_DRUG_1,31,3787
NEW_DRUG_1,32,2948
NEW_DRUG_1,33,2853
NEW_DRUG_1,34,3638
NEW_DRUG_1,35,3326
NEW_DRUG_1,36,3484
NEW_DRUG_2,1,3859
NEW_DRUG_2,2,3934
NEW_DRUG_2,3,4128
NEW_DRUG_2,4,3875
NEW_DRUG_2,5,3780
NEW_DRUG_2,6,4024
NEW_DRUG_2,7,3326
NEW_DRUG_2,8,3353
NEW_DRUG_2,9,3226
NEW_DRUG_2,10,3359
NEW_DRUG_2,11,3314
NEW_DRUG_2,12,3540
NEW_DRUG_2,13,3902
NEW_DRUG_2,14,3553
NEW_DRUG_2,15,4296
NEW_DRUG_2,16,4354
NEW_DRUG_2,17,4012
NEW_DRUG_2,18,3698
NEW_DRUG_2,19,3742
NEW_DRUG_2,20,3307
NEW_DRUG_2,21,3307
NEW_DRUG_2,22,3502
NEW_DRUG_2,23,3358
NEW_DRUG_2,24,4008
NEW_DRUG_2,25,4167
NEW_DRUG_2,26,4277
NEW_DRUG_2,27,4700
NEW_DRUG_2,28,4358
NEW_DRUG_2,29,4208
NEW_DRUG_2,30,3906
NEW_DRUG_2,31,3680
NEW_DRUG_2,32,3508
NEW_DRUG_2,33,3501
NEW_DRUG_2,34,3503
NEW_DRUG_2,35,3585
NEW_DRUG_2,36,4126
NEW_DRUG_3,1,2995
NEW_DRUG_3,2,3747
NEW_DRUG_3,3,3927
NEW_DRUG_3,4,4451
NEW_DRUG_3,5,4155
NEW_DRUG_3,6,4127
NEW_DRUG_3,7,3430
NEW_DRUG_3,8,3030
NEW_DRUG_3,9,3284
NEW_DRUG_3,10,3276
NEW_DRUG_3,11,3347
NEW_DRUG_3,12,3862
NEW_DRUG_3,13,4260
NEW_DRUG_3,14,4215
NEW_DRUG_3,15,4231
NEW_DRUG_3,16,3956
NEW_DRUG_3,17,4013
NEW_DRUG_3,18,3708
NEW_DRUG_3,19,3889
NEW_DRUG_3,20,3322
NEW_DRUG_3,21,2792
NEW_DRUG_3,22,3194
NEW_DRUG_3,23,3542
NEW_DRUG_3,24,4025
NEW_DRUG_3,25,4109
NEW_DRUG_3,26,4133
NEW_DRUG_3,27,4276
NEW_DRUG_3,28,4727
NEW_DRUG_3,29,4139
NEW_DRUG_3,30,4311
NEW_DRUG_3,31,3810
NEW_DRUG_3,32,3583
NEW_DRUG_3,33,3447
NEW_DRUG_3,34,3577
NEW_DRUG_3,35,3446
NEW_DRUG_3,36,3740
NEW_DRUG_4,1,4942
NEW_DRUG_4,2,5353
NEW_DRUG_4,3,5243
NEW_DRUG_4,4,5393
NEW_DRUG_4,5,5298
NEW_DRUG_4,6,5134
NEW_DRUG_4,7,5148
NEW_DRUG_4,8,4431
NEW_DRUG_4,9,4576
NEW_DRUG_4,10,4703
NEW_DRUG_4,11,4435
NEW_DRUG_4,12,5240
NEW_DRUG_4,13,4562
NEW_DRUG_4,14,5328
NEW_DRUG_4,15,5187
NEW_DRUG_4,16,5845
NEW_DRUG_4,17,5292
NEW_DRUG_4,18,5089
NEW_DRUG_4,19,5181
NEW_DRUG_4,20,4765
NEW_DRUG_4,21,4606
NEW_DRUG_4,22,4808
NEW_DRUG_4,23,5057
NEW_DRUG_4,24,5120
NEW_DRUG_4,25,5283
NEW_DRUG_4,26,5549
NEW_DRUG_4,27,5880
NEW_DRUG_4,28,6140
NEW_DRUG_4,29,5470
NEW_DRUG_4,30,5217
NEW_DRUG_4,31,5230
NEW_DRUG_4,32,4604
NEW_DRUG_4,33,5023
NEW_DRUG_4,34,5085
NEW_DRUG_4,35,4865
NEW_DRUG_4,36,5135
NEW_DRUG_5,1,1816
NEW_DRUG_5,2,1587
NEW_DRUG_5,3,2536
NEW_DRUG_5,4,1795
NEW_DRUG_5,5,2339
NEW_DRUG_5,6,1939
NEW_DRUG_5,7,2049
NEW_DRUG_5,8,1447
NEW_DRUG_5,9,1281
NEW_DRUG_5,10,1096
NEW_DRUG_5,11,1154
NEW_DRUG_5,12,1909
NEW_DRUG_5,13,2329
NEW_DRUG_5,14,2217
