drug_id,month,forecasted_sales_units
NEW_DRUG_1,1,12723
NEW_DRUG_1,2,0
NEW_DRUG_1,3,0
NEW_DRUG_1,4,50550
NEW_DRUG_1,5,0
NEW_DRUG_1,6,29844
NEW_DRUG_1,7,0
NEW_DRUG_1,8,0
NEW_DRUG_1,9,0
NEW_DRUG_1,10,1909
NEW_DRUG_1,11,0
NEW_DRUG_1,12,19396
NEW_DRUG_1,13,15824
NEW_DRUG_1,14,48086
NEW_DRUG_1,15,0
NEW_DRUG_1,16,0
NEW_DRUG_1,17,0
NEW_DRUG_1,18,0
NEW_DRUG_1,19,0
NEW_DRUG_1,20,0
NEW_DRUG_1,21,0
NEW_DRUG_1,22,0
NEW_DRUG_1,23,0
NEW_DRUG_1,24,0
NEW_DRUG_1,25,9580
NEW_DRUG_1,26,638
NEW_DRUG_1,27,2684
NEW_DRUG_1,28,2152
NEW_DRUG_1,29,0
NEW_DRUG_1,30,0
NEW_DRUG_1,31,0
NEW_DRUG_1,32,0
NEW_DRUG_1,33,4502
NEW_DRUG_1,34,0
NEW_DRUG_1,35,0
NEW_DRUG_1,36,0
NEW_DRUG_2,1,10291
NEW_DRUG_2,2,43708
NEW_DRUG_2,3,0
NEW_DRUG_2,4,0
NEW_DRUG_2,5,0
NEW_DRUG_2,6,0
NEW_DRUG_2,7,0
NEW_DRUG_2,8,0
NEW_DRUG_2,9,2621
NEW_DRUG_2,10,0
NEW_DRUG_2,11,30232
NEW_DRUG_2,12,0
NEW_DRUG_2,13,12965
NEW_DRUG_2,14,0
NEW_DRUG_2,15,14397
NEW_DRUG_2,16,1898
NEW_DRUG_2,17,10330
NEW_DRUG_2,18,0
NEW_DRUG_2,19,3370
NEW_DRUG_2,20,0
NEW_DRUG_2,21,0
NEW_DRUG_2,22,0
NEW_DRUG_2,23,4264
NEW_DRUG_2,24,931
NEW_DRUG_2,25,0
NEW_DRUG_2,26,0
NEW_DRUG_2,27,0
NEW_DRUG_2,28,452
NEW_DRUG_2,29,0
NEW_DRUG_2,30,162
NEW_DRUG_2,31,779
NEW_DRUG_2,32,0
NEW_DRUG_2,33,6595
NEW_DRUG_2,34,0
NEW_DRUG_2,35,0
NEW_DRUG_2,36,0
NEW_DRUG_3,1,13511
NEW_DRUG_3,2,2545
NEW_DRUG_3,3,18295
NEW_DRUG_3,4,0
NEW_DRUG_3,5,23816
NEW_DRUG_3,6,0
NEW_DRUG_3,7,0
NEW_DRUG_3,8,0
NEW_DRUG_3,9,49007
NEW_DRUG_3,10,0
NEW_DRUG_3,11,16130
NEW_DRUG_3,12,0
NEW_DRUG_3,13,0
NEW_DRUG_3,14,0
NEW_DRUG_3,15,0
NEW_DRUG_3,16,0
NEW_DRUG_3,17,3494
NEW_DRUG_3,18,0
NEW_DRUG_3,19,0
NEW_DRUG_3,20,0
NEW_DRUG_3,21,0
NEW_DRUG_3,22,17636
NEW_DRUG_3,23,633
NEW_DRUG_3,24,0
NEW_DRUG_3,25,0
NEW_DRUG_3,26,9528
NEW_DRUG_3,27,2129
NEW_DRUG_3,28,0
NEW_DRUG_3,29,0
NEW_DRUG_3,30,0
NEW_DRUG_3,31,1820
NEW_DRUG_3,32,0
NEW_DRUG_3,33,0
NEW_DRUG_3,34,0
NEW_DRUG_3,35,0
NEW_DRUG_3,36,1079
NEW_DRUG_4,1,33208
NEW_DRUG_4,2,0
NEW_DRUG_4,3,19400
NEW_DRUG_4,4,0
NEW_DRUG_4,5,4273
NEW_DRUG_4,6,0
NEW_DRUG_4,7,18239
NEW_DRUG_4,8,0
NEW_DRUG_4,9,0
NEW_DRUG_4,10,14455
NEW_DRUG_4,11,0
NEW_DRUG_4,12,0
NEW_DRUG_4,13,3403
NEW_DRUG_4,14,0
NEW_DRUG_4,15,0
NEW_DRUG_4,16,0
NEW_DRUG_4,17,0
NEW_DRUG_4,18,0
NEW_DRUG_4,19,0
NEW_DRUG_4,20,22665
NEW_DRUG_4,21,0
NEW_DRUG_4,22,0
NEW_DRUG_4,23,0
NEW_DRUG_4,24,0
NEW_DRUG_4,25,0
NEW_DRUG_4,26,1291
NEW_DRUG_4,27,12011
NEW_DRUG_4,28,0
NEW_DRUG_4,29,0
NEW_DRUG_4,30,0
NEW_DRUG_4,31,0
NEW_DRUG_4,32,217
NEW_DRUG_4,33,0
NEW_DRUG_4,34,0
NEW_DRUG_4,35,0
NEW_DRUG_4,36,0
NEW_DRUG_5,1,2284
NEW_DRUG_5,2,1506
NEW_DRUG_5,3,7238
NEW_DRUG_5,4,5408
NEW_DRUG_5,5,45227
NEW_DRUG_5,6,0
NEW_DRUG_5,7,0
NEW_DRUG_5,8,0
NEW_DRUG_5,9,0
NEW_DRUG_5,10,0
NEW_DRUG_5,11,14600
NEW_DRUG_5,12,0
NEW_DRUG_5,13,55738
NEW_DRUG_5,14,0
NEW_DRUG_5,15,0
NEW_DRUG_5,16,0
NEW_DRUG_5,17,0
NEW_DRUG_5,18,0
NEW_DRUG_5,19,0
NEW_DRUG_5,20,0
NEW_DRUG_5,21,5036
NEW_DRUG_5,22,359
NEW_DRUG_5,23,0
NEW_DRUG_5,24,0
NEW_DRUG_5,25,0
NEW_DRUG_5,26,2965
NEW_DRUG_5,27,671
NEW_DRUG_5,28,0
NEW_DRUG_5,29,0
NEW_DRUG_5,30,0
NEW_DRUG_5,31,0
NEW_DRUG_5,32,0
NEW_DRUG_5,33,0
NEW_DRUG_5,34,0
NEW_DRUG_5,35,0
NEW_DRUG_5,36,0
