drug_id,month,forecasted_sales_units
NEW_DRUG_1,1,3046
NEW_DRUG_1,2,3361
NEW_DRUG_1,3,3242
NEW_DRUG_1,4,3255
NEW_DRUG_1,5,3313
NEW_DRUG_1,6,3199
NEW_DRUG_1,7,3224
NEW_DRUG_1,8,3271
NEW_DRUG_1,9,3109
NEW_DRUG_1,10,3261
NEW_DRUG_1,11,3092
NEW_DRUG_1,12,3144
NEW_DRUG_1,13,3421
NEW_DRUG_1,14,3298
NEW_DRUG_1,15,3045
NEW_DRUG_1,16,3265
NEW_DRUG_1,17,3362
NEW_DRUG_1,18,3335
NEW_DRUG_1,19,3118
NEW_DRUG_1,20,3073
NEW_DRUG_1,21,3402
NEW_DRUG_1,22,3180
NEW_DRUG_1,23,3398
NEW_DRUG_1,24,3177
NEW_DRUG_1,25,3235
NEW_DRUG_1,26,3132
NEW_DRUG_1,27,3075
NEW_DRUG_1,28,3068
NEW_DRUG_1,29,3344
NEW_DRUG_1,30,3438
NEW_DRUG_1,31,3131
NEW_DRUG_1,32,3172
NEW_DRUG_1,33,3358
NEW_DRUG_1,34,3052
NEW_DRUG_1,35,3426
NEW_DRUG_1,36,3176
NEW_DRUG_2,1,2139
NEW_DRUG_2,2,2243
NEW_DRUG_2,3,2415
NEW_DRUG_2,4,2416
NEW_DRUG_2,5,2231
NEW_DRUG_2,6,2376
NEW_DRUG_2,7,2259
NEW_DRUG_2,8,2257
NEW_DRUG_2,9,2481
NEW_DRUG_2,10,2283
NEW_DRUG_2,11,2184
NEW_DRUG_2,12,2193
NEW_DRUG_2,13,2349
NEW_DRUG_2,14,2511
NEW_DRUG_2,15,2366
NEW_DRUG_2,16,2479
NEW_DRUG_2,17,2114
NEW_DRUG_2,18,2341
NEW_DRUG_2,19,2298
NEW_DRUG_2,20,2409
NEW_DRUG_2,21,2393
NEW_DRUG_2,22,2409
NEW_DRUG_2,23,2270
NEW_DRUG_2,24,2164
NEW_DRUG_2,25,2489
NEW_DRUG_2,26,2465
NEW_DRUG_2,27,2364
NEW_DRUG_2,28,2287
NEW_DRUG_2,29,2126
NEW_DRUG_2,30,2181
NEW_DRUG_2,31,2288
NEW_DRUG_2,32,2456
NEW_DRUG_2,33,2243
NEW_DRUG_2,34,2313
NEW_DRUG_2,35,2181
NEW_DRUG_2,36,2315
NEW_DRUG_3,1,4060
NEW_DRUG_3,2,4308
NEW_DRUG_3,3,4301
NEW_DRUG_3,4,4411
NEW_DRUG_3,5,4043
NEW_DRUG_3,6,4294
NEW_DRUG_3,7,4361
NEW_DRUG_3,8,4179
NEW_DRUG_3,9,4334
NEW_DRUG_3,10,4217
NEW_DRUG_3,11,4260
NEW_DRUG_3,12,4347
NEW_DRUG_3,13,4133
NEW_DRUG_3,14,4024
NEW_DRUG_3,15,4383
NEW_DRUG_3,16,4182
NEW_DRUG_3,17,4095
NEW_DRUG_3,18,4213
NEW_DRUG_3,19,4119
NEW_DRUG_3,20,4231
NEW_DRUG_3,21,4421
NEW_DRUG_3,22,4059
NEW_DRUG_3,23,4342
NEW_DRUG_3,24,4133
NEW_DRUG_3,25,4275
NEW_DRUG_3,26,4151
NEW_DRUG_3,27,4113
NEW_DRUG_3,28,4287
NEW_DRUG_3,29,4066
NEW_DRUG_3,30,4371
NEW_DRUG_3,31,4195
NEW_DRUG_3,32,4268
NEW_DRUG_3,33,4030
NEW_DRUG_3,34,4290
NEW_DRUG_3,35,4027
NEW_DRUG_3,36,4367
NEW_DRUG_4,1,1314
NEW_DRUG_4,2,1374
NEW_DRUG_4,3,1177
NEW_DRUG_4,4,1228
NEW_DRUG_4,5,1260
NEW_DRUG_4,6,1185
NEW_DRUG_4,7,1061
NEW_DRUG_4,8,1021
NEW_DRUG_4,9,1219
NEW_DRUG_4,10,1281
NEW_DRUG_4,11,1060
NEW_DRUG_4,12,1315
NEW_DRUG_4,13,1269
NEW_DRUG_4,14,1129
NEW_DRUG_4,15,1031
NEW_DRUG_4,16,1099
NEW_DRUG_4,17,1121
NEW_DRUG_4,18,1267
NEW_DRUG_4,19,1035
NEW_DRUG_4,20,1076
NEW_DRUG_4,21,1072
NEW_DRUG_4,22,1107
NEW_DRUG_4,23,1297
NEW_DRUG_4,24,1313
NEW_DRUG_4,25,1173
NEW_DRUG_4,26,1253
NEW_DRUG_4,27,1135
NEW_DRUG_4,28,1387
NEW_DRUG_4,29,1337
NEW_DRUG_4,30,1000
NEW_DRUG_4,31,1212
NEW_DRUG_4,32,1215
NEW_DRUG_4,33,1115
NEW_DRUG_4,34,1224
NEW_DRUG_4,35,1207
NEW_DRUG_4,36,1281
NEW_DRUG_5,1,2700
NEW_DRUG_5,2,2451
NEW_DRUG_5,3,2525
