drug_id,month,actual_sales_units,forecasted_sales_naive,forecasted_sales_arima,forecasted_sales_bass,forecasted_sales_analog_bass_static
NEW_DRUG_1,1,8360,8007,8448,7759,8660
NEW_DRUG_1,2,7266,7765,7332,850,7467
NEW_DRUG_1,3,8750,8940,8783,4043,8964
NEW_DRUG_1,4,2925,2857,2750,708,3109
NEW_DRUG_1,5,3392,2932,3379,3055,3641
NEW_DRUG_1,6,9114,8660,8840,5353,9412
NEW_DRUG_1,7,5310,5639,5402,6631,5467
NEW_DRUG_1,8,9396,9463,9670,4579,9489
NEW_DRUG_1,9,8671,8483,8726,6551,8712
NEW_DRUG_1,10,3973,3748,4074,2986,4257
NEW_DRUG_1,11,6719,6509,6433,793,6618
NEW_DRUG_1,12,5498,5572,5745,3525,5719
NEW_DRUG_1,13,9253,8815,9373,4072,9559
NEW_DRUG_1,14,9099,8938,9392,2605,9192
NEW_DRUG_1,15,7967,8137,8225,1868,7927
NEW_DRUG_1,16,1468,1050,1354,2236,1623
NEW_DRUG_1,17,9905,9601,9724,4015,9940
NEW_DRUG_1,18,8676,8851,8726,6707,8540
NEW_DRUG_1,19,8961,9325,8817,7063,9289
NEW_DRUG_1,20,2390,2082,2371,1176,2542
NEW_DRUG_1,21,9685,9724,9674,1191,9992
NEW_DRUG_1,22,1665,2021,1771,2836,1932
NEW_DRUG_1,23,6926,7069,6835,5829,6840
NEW_DRUG_1,24,3243,2903,3309,6653,3472
NEW_DRUG_1,25,1347,912,1600,3741,1279
NEW_DRUG_1,26,5256,5151,5141,6557,5622
NEW_DRUG_1,27,4049,3831,3856,5178,4234
NEW_DRUG_1,28,6536,6537,6472,809,6456
NEW_DRUG_1,29,4463,4330,4717,6021,4571
NEW_DRUG_1,30,4955,4993,4692,1600,5163
NEW_DRUG_1,31,4100,3704,4209,7035,4445
NEW_DRUG_1,32,8601,8256,8488,6745,8907
NEW_DRUG_1,33,2503,2454,2304,538,2595
NEW_DRUG_1,34,7072,6820,7184,7928,7256
NEW_DRUG_1,35,1752,2241,1553,6544,1657
NEW_DRUG_1,36,1321,1790,1064,2036,1199
NEW_DRUG_2,1,4574,4277,4522,3796,4574
NEW_DRUG_2,2,2485,2301,2640,6086,2682
NEW_DRUG_2,3,5032,4583,4935,4048,5084
NEW_DRUG_2,4,8564,8104,8376,2127,8605
NEW_DRUG_2,5,4255,4116,4348,2488,4390
NEW_DRUG_2,6,3177,3255,3427,1979,3209
NEW_DRUG_2,7,1145,1086,1273,2509,1217
NEW_DRUG_2,8,8800,9126,8976,4583,8683
NEW_DRUG_2,9,3488,3836,3264,6752,3794
NEW_DRUG_2,10,1323,884,1571,1634,1395
NEW_DRUG_2,11,8385,7975,8408,5696,8237
NEW_DRUG_2,12,7701,7595,7742,1116,7968
NEW_DRUG_2,13,1939,1999,1976,7208,1913
NEW_DRUG_2,14,6990,6749,7187,4695,6792
NEW_DRUG_2,15,6140,6378,5939,2354,6359
NEW_DRUG_2,16,9771,9501,9764,6465,9593
NEW_DRUG_2,17,5461,5526,5452,4243,5813
NEW_DRUG_2,18,3223,3508,3339,3036,3246
NEW_DRUG_2,19,2349,2265,2132,3477,2508
NEW_DRUG_2,20,9289,8964,9339,665,9574
NEW_DRUG_2,21,3292,3662,3376,899,3589
NEW_DRUG_2,22,6994,7063,6868,6252,7130
NEW_DRUG_2,23,2096,2441,2302,929,2093
NEW_DRUG_2,24,6611,6147,6653,1575,6940
NEW_DRUG_2,25,2196,2344,1952,1167,2182
NEW_DRUG_2,26,3697,3808,3776,2371,3867
NEW_DRUG_2,27,9657,9881,9438,5088,9952
NEW_DRUG_2,28,3627,3616,3914,7665,3659
NEW_DRUG_2,29,5264,5144,5506,5662,5173
NEW_DRUG_2,30,6149,6160,6206,4528,6365
NEW_DRUG_2,31,8444,7976,8665,1461,8354
NEW_DRUG_2,32,1384,1773,1564,4293,1269
NEW_DRUG_2,33,2855,2380,2951,7008,3041
NEW_DRUG_2,34,9187,9237,9343,5406,9398
NEW_DRUG_2,35,4350,4052,4085,1496,4278
NEW_DRUG_2,36,9788,10214,9761,4235,9678
NEW_DRUG_3,1,7678,7195,7702,7493,7978
NEW_DRUG_3,2,2762,2966,3004,1803,3018
NEW_DRUG_3,3,5410,5170,5304,2755,5273
NEW_DRUG_3,4,7033,6610,7106,7410,7105
NEW_DRUG_3,5,7648,7848,7549,7178,7745
NEW_DRUG_3,6,4873,4403,5164,5293,5205
NEW_DRUG_3,7,4833,5280,4647,3960,5125
NEW_DRUG_3,8,7857,7690,7768,5821,8019
NEW_DRUG_3,9,9817,9755,10091,2017,10175
NEW_DRUG_3,10,1325,940,1343,6884,1343
