drug_id,market_size,competitive_density,payer_restrictiveness,promotional_intensity,price_tier,market_x_competition,payer_x_competition,promo_x_route_friction,special_designation_flag,mechanism_of_action_ACE inhibitor,mechanism_of_action_Anti-CD20 monoclonal antibody,mechanism_of_action_CGRP antagonist,mechanism_of_action_DPP-4 inhibitor,mechanism_of_action_Factor Xa inhibitor,mechanism_of_action_Integrin antagonist,mechanism_of_action_JAK inhibitor,mechanism_of_action_PCSK9 inhibitor,mechanism_of_action_PD-1 inhibitor,mechanism_of_action_Proton pump inhibitor,mechanism_of_action_SGLT2 inhibitor,mechanism_of_action_Sodium channel blocker,mechanism_of_action_TNF-alpha inhibitor,mechanism_of_action_Tyrosine kinase inhibitor,route_of_administration_Inhaled,route_of_administration_Injectable,route_of_administration_Intravenous,route_of_administration_Oral,route_of_administration_Subcutaneous,route_of_administration_Topical,target_specialty_Cardiology,target_specialty_Dermatology,target_specialty_Endocrinology,target_specialty_Gastroenterology,target_specialty_Hematology,target_specialty_Neurology,target_specialty_Oncology,target_specialty_Primary Care,target_specialty_Psychiatry,target_specialty_Pulmonology,target_specialty_Rheumatology,launch_quarter_Q1,launch_quarter_Q2,launch_quarter_Q3,launch_quarter_Q4
ANL_001,-1.3698200191073224,-0.6489327307935144,1.1853146249979025,-0.6025490242570857,-0.6578980838338426,-1.1776211941805894,-0.0075822878395127545,0.8577265431874447,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANL_002,0.026700401080858253,0.039329256411728,0.516185401208764,-1.2228200786393797,0.7376433061167323,0.14748011511996087,0.2577977865434346,0.023825737310762363,2.4494897427831783,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ANL_003,1.342193442271633,-1.3371947179987569,-1.4912022701586516,1.2582641388897962,-0.6578980838338426,-0.5292815208059715,-1.2017926225627757,0.8577265431874447,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
ANL_004,-0.4866222971019808,-0.6489327307935144,-0.15294382258037456,-1.2228200786393797,1.43541400109202,-0.6725368762874474,-0.5383424366054075,-0.4765147462152471,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
ANL_005,0.10188743664723351,1.4158532308222127,-0.8220730463695131,-0.6025490242570857,0.7376433061167323,1.307889889500388,-0.0075822878395127545,0.8577265431874447,-0.40824829046386296,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ANL_006,-0.8909614924095389,0.7275912436169704,0.516185401208764,-1.2228200786393797,0.03987261114144486,-0.37565004883160347,0.7885579353093293,-0.6432949073905835,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANL_007,-0.07061423270539079,1.4158532308222127,1.1853146249979025,1.2582641388897962,-1.3556687788091302,1.0612636646201579,1.9827682700325924,-0.81007506856592,-0.40824829046386296,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ANL_008,1.052081295732412,-0.6489327307935144,1.1853146249979025,1.2582641388897962,1.43541400109202,0.2074190330890782,-0.0075822878395127545,-0.81007506856592,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ANL_009,-1.4266126909537482,0.7275912436169704,-0.8220730463695131,0.6379930845075023,-1.3556687788091302,-0.9883079248756036,-0.2729623622224601,1.1912868655381177,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
ANL_010,-1.3458701202863461,0.7275912436169704,-1.4912022701586516,0.017722030125208336,-0.6578980838338426,-0.8959575819922758,-0.8037225109883548,0.190605898486099,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANL_011,-1.0362846473496095,0.7275912436169704,-0.15294382258037456,-1.2228200786393797,-1.3556687788091302,-0.5418652569513114,0.2577977865434346,-0.81007506856592,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ANL_012,1.3145540347109406,-1.3371947179987569,-0.15294382258037456,-1.2228200786393797,-1.3556687788091302,-0.5371847518531857,-0.9364125481798284,-0.81007506856592,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANL_013,-0.8376822444846943,0.039329256411728,-0.8220730463695131,-0.6025490242570857,-1.3556687788091302,-0.5940063743540906,-0.5383424366054075,0.1906058984860988,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ANL_014,-1.568460238845931,1.4158532308222127,-1.4912022701586516,-0.6025490242570857,1.43541400109202,-1.0802118778062473,-0.6710324737968811,-0.4765147462152471,-0.40824829046386296,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
