forecast_month,seed_93400_forecast_rx,seed_94721_forecast_rx
1,34470.20389905493,46419.20136344884
2,35781.319229156186,51597.29085586182
3,37141.75526562627,56088.27302622638
4,38553.32456054387,59511.43262067012
5,40017.902940017,61542.93763457652
6,41537.43144981819,61976.905689851206
7,43113.91833941522,60768.03678955551
8,44749.44108321873,58041.364655763726
9,46446.148437657044,54065.662217874546
10,48206.26253240835,49199.814247479895
11,50032.08099387889,43829.50372419611
12,51925.97909869638,38311.551742095384
