drug_id,month,rx,rx_pct_of_peak
ANL_001,1,34760,0.30610447708619537
ANL_001,2,36125,0.31812497798443057
ANL_001,3,35685,0.31425023776814964
ANL_001,4,37739,0.33233822959597026
ANL_001,5,40168,0.353728556835394
ANL_001,6,39940,0.35172073690513933
ANL_001,7,42697,0.3759995068512452
ANL_001,8,47291,0.4164553172003241
ANL_001,9,47588,0.4190707668463137
ANL_001,10,54276,0.4779668181337842
ANL_001,11,52400,0.4614463348480045
ANL_001,12,53139,0.46795413716580364
ANL_001,13,54934,0.4837613160026771
ANL_001,14,59593,0.5247895311564338
ANL_001,15,61793,0.5441632322378386
ANL_001,16,67302,0.592676740991229
ANL_001,17,67405,0.5935837824509493
ANL_001,18,69205,0.6094349924266441
ANL_001,19,68275,0.6012452006058685
ANL_001,20,74243,0.6538007679030611
ANL_001,21,74408,0.6552537954841664
ANL_001,22,77704,0.6842791221952165
ANL_001,23,77514,0.6826059389200042
ANL_001,24,81818,0.7205079432174434
ANL_001,25,84882,0.7474902250871817
ANL_001,26,85309,0.7512504843425271
ANL_001,27,86894,0.7652083553489027
ANL_001,28,95374,0.8398851667899538
ANL_001,29,95327,0.839471274085033
ANL_001,30,92506,0.8146289055620135
ANL_001,31,97559,0.8591267744548945
ANL_001,32,100570,0.8856423262531262
ANL_001,33,97561,0.859144386910423
ANL_001,34,97263,0.8565201310366691
ANL_001,35,113556,1.0
ANL_001,36,106490,0.9377751946176336
ANL_002,1,151155,0.29554035268147805
ANL_002,2,158895,0.3106737080435543
ANL_002,3,168434,0.32932449315968426
ANL_002,4,172574,0.33741907858591114
ANL_002,5,168577,0.3296040887432472
ANL_002,6,209077,0.4087902505215533
ANL_002,7,194988,0.38124324229205814
ANL_002,8,201981,0.39491605289244563
ANL_002,9,212429,0.41534412741737753
ANL_002,10,212175,0.41484750309412594
ANL_002,11,238701,0.46671150623810986
ANL_002,12,240038,0.4693256271837295
ANL_002,13,265484,0.5190779993469585
ANL_002,14,268390,0.524759850856286
ANL_002,15,275630,0.5389155992828275
ANL_002,16,294389,0.5755934562902163
ANL_002,17,319451,0.6245950263269547
ANL_002,18,298181,0.583007627289311
ANL_002,19,310015,0.606145628239545
ANL_002,20,345318,0.675170543529904
ANL_002,21,314397,0.6147133754225707
ANL_002,22,367493,0.7185274111208655
ANL_002,23,348195,0.6807956938369704
ANL_002,24,372490,0.7282976148345987
ANL_002,25,380338,0.7436421332947505
ANL_002,26,410306,0.8022359825829548
ANL_002,27,398840,0.7798175003372744
ANL_002,28,432424,0.8454814029832654
ANL_002,29,434400,0.8493449055924982
ANL_002,30,420316,0.8218076734323584
ANL_002,31,452241,0.8842278762662454
ANL_002,32,511453,1.0
ANL_002,33,451666,0.8831036282903806
ANL_002,34,468495,0.9160079225266056
ANL_002,35,486917,0.952026872459444
ANL_002,36,489754,0.9575738142116675
ANL_003,1,11891,0.05147552196291823
ANL_003,2,14220,0.061557642108544045
ANL_003,3,18313,0.07927602671826772
ANL_003,4,20026,0.08669151482881175
ANL_003,5,25191,0.10905053181127518
ANL_003,6,28831,0.12480790292766761
ANL_003,7,35290,0.15276857876304636
ANL_003,8,42892,0.1856772422868967
ANL_003,9,52393,0.22680657826954628
ANL_003,10,57496,0.24889720046925798
ANL_003,11,65114,0.2818751271628507
ANL_003,12,68283,0.2955935637199517
ANL_003,13,87116,0.3771206434548469
ANL_003,14,93199,0.40345363480127966
ANL_003,15,114021,0.493590992324775
ANL_003,16,124898,0.5406769609052696
ANL_003,17,135503,0.5865854556001437
ANL_003,18,137402,0.594806128058943
ANL_003,19,155508,0.6731860625186686
ANL_003,20,169468,0.7336181781188988
ANL_003,21,181520,0.7857906607273498
ANL_003,22,195890,0.8479976450522287
ANL_003,23,202856,0.8781530975788193
ANL_003,24,186253,0.8062795721267689
ANL_003,25,192476,0.8332186162084475
ANL_003,26,199312,0.8628113054808813
ANL_003,27,215028,0.9308450539603382
ANL_003,28,217699,0.9424076743592075
ANL_003,29,231003,1.0
ANL_003,30,216476,0.937113370822024
ANL_003,31,220444,0.9542906369181353
ANL_003,32,228315,0.9883637874832795
ANL_003,33,219886,0.9518750838733696
ANL_003,34,222882,0.9648446124076311
ANL_003,35,223479,0.9674289944286438
ANL_003,36,209635,0.9074990368090458
ANL_004,1,38312,0.17612607228561183
ANL_004,2,37224,0.17112437133951802
ANL_004,3,41114,0.18900729108244532
ANL_004,4,41549,0.19100705203056187
ANL_004,5,47238,0.21716024751064242
ANL_004,6,49297,0.22662578266506073
ANL_004,7,54143,0.24890357934223956
ANL_004,8,57178,0.2628559344630067
ANL_004,9,65697,0.302019068984857
ANL_004,10,66156,0.3041291615714903
ANL_004,11,72588,0.333698040693986
ANL_004,12,78560,0.36115223007824354
ANL_004,13,86636,0.3982788264391383
ANL_004,14,88292,0.40589170949679576
ANL_004,15,92714,0.42622031389351156
ANL_004,16,98383,0.4522815663414948
ANL_004,17,103925,0.4777589805356601
ANL_004,18,108611,0.49930123295606044
ANL_004,19,117039,0.538046026681868
ANL_004,20,122428,0.5628200766804887
ANL_004,21,124944,0.5743865101183306
ANL_004,22,139577,0.6416566295523294
ANL_004,23,138819,0.6381719886358412
ANL_004,24,152590,0.7014793633864458
ANL_004,25,142470,0.6549561891452056
ANL_004,26,155328,0.7140663644805678
ANL_004,27,169921,0.7811525978503719
ANL_004,28,163280,0.7506229140424593
ANL_004,29,175142,0.8051543263793753
ANL_004,30,188333,0.8657953531991578
ANL_004,31,182654,0.8396881292351259
ANL_004,32,192325,0.8841471824057814
ANL_004,33,191359,0.8797063339554811
ANL_004,34,193686,0.8904039057400035
ANL_004,35,190589,0.8761665272197346
ANL_004,36,217526,1.0
ANL_005,1,44035,0.06670362745944537
ANL_005,2,52897,0.08012766621374548
ANL_005,3,59803,0.09058878239939167
ANL_005,4,74712,0.11317273565913666
ANL_005,5,72484,0.10979779113819549
ANL_005,6,91819,0.13908618984214408
ANL_005,7,100395,0.15207699963190685
ANL_005,8,114849,0.17397172499352428
ANL_005,9,140329,0.21256848728866834
ANL_005,10,146921,0.22255396048527704
