month,analog_weighted_rx
1,52787.526463977665
2,54236.15885810606
3,57004.47352285101
4,61375.73185811852
5,66691.28774962935
6,71157.86927629476
7,73061.43671171184
8,78276.98697794817
9,84702.74492866096
10,89304.10969911373
11,93154.87597121508
12,103435.04256064037
13,100303.57342412067
14,112427.65122643058
15,113878.9173071983
16,121045.23478901458
17,126331.6181402498
18,133032.04873114263
19,140657.06442208248
20,148528.0662370045
21,147947.64405334293
22,158822.58806932156
23,162594.89755873504
24,169395.9475343919
25,171207.92125999887
26,181505.78218048866
27,190035.51958766903
28,193158.0758384846
29,195231.42986672232
30,198895.9156715001
31,212846.89384112705
32,208307.21983521958
33,210203.56489485977
34,218848.3569816097
35,223784.9578288923
36,227344.42652312908
