month,rx,type,scenario
1,347755.0,known,bull
2,373632.0,known,bull
3,476050.0,known,bull
4,413242.0,known,bull
5,435602.0,known,bull
6,568968.0,forecast,bull
7,584448.5,forecast,bull
8,607358.1,forecast,bull
9,630528.4,forecast,bull
10,643872.8,forecast,bull
11,651008.5,forecast,bull
12,675832.5,forecast,bull
1,347755.0,known,base
2,373632.0,known,base
3,476050.0,known,base
4,413242.0,known,base
5,435602.0,known,base
6,463748.5,forecast,base
7,477082.2,forecast,base
8,497764.4,forecast,base
9,519574.6,forecast,base
10,533697.1,forecast,base
11,543175.4,forecast,base
12,568640.7,forecast,base
1,347755.0,known,bear
2,373632.0,known,bear
3,476050.0,known,bear
4,413242.0,known,bear
5,435602.0,known,bear
6,368167.8,forecast,bear
7,379033.5,forecast,bear
8,396739.4,forecast,bear
9,416029.8,forecast,bear
10,429410.7,forecast,bear
11,439435.6,forecast,bear
12,463575.0,forecast,bear
