drug_id,month_number,rx_count
ANALOG_A,1,1324.2
ANALOG_A,2,1839.8
ANALOG_A,3,2630.0
ANALOG_A,4,3529.7
ANALOG_A,5,4176.0
ANALOG_A,6,4744.1
ANALOG_A,7,5058.0
ANALOG_A,8,4684.7
ANALOG_A,9,3916.4
ANALOG_A,10,3178.0
ANALOG_A,11,2289.5
ANALOG_A,12,1612.5
ANALOG_A,13,1153.8
ANALOG_A,14,597.4
ANALOG_A,15,355.0
ANALOG_A,16,279.7
ANALOG_A,17,126.5
ANALOG_A,18,163.8
ANALOG_A,19,11.4
ANALOG_A,20,0.0
ANALOG_A,21,160.8
ANALOG_A,22,4.3
ANALOG_A,23,20.7
ANALOG_A,24,0.0
ANALOG_A,25,0.0
ANALOG_A,26,13.4
ANALOG_A,27,0.0
ANALOG_A,28,33.5
ANALOG_A,29,0.0
ANALOG_A,30,0.0
ANALOG_B,1,1688.1
ANALOG_B,2,2301.1
ANALOG_B,3,2651.8
ANALOG_B,4,3028.1
ANALOG_B,5,3501.3
ANALOG_B,6,3551.9
ANALOG_B,7,3631.4
ANALOG_B,8,3274.1
ANALOG_B,9,2948.8
ANALOG_B,10,2596.0
ANALOG_B,11,2158.2
ANALOG_B,12,1677.2
ANALOG_B,13,1273.6
ANALOG_B,14,945.6
ANALOG_B,15,618.5
ANALOG_B,16,477.9
ANALOG_B,17,351.8
ANALOG_B,18,346.6
ANALOG_B,19,221.8
ANALOG_B,20,25.8
ANALOG_B,21,123.7
ANALOG_B,22,47.5
ANALOG_B,23,7.2
ANALOG_B,24,77.8
ANALOG_B,25,94.9
ANALOG_B,26,80.7
ANALOG_B,27,0.0
ANALOG_B,28,0.0
ANALOG_B,29,28.8
ANALOG_B,30,69.6
ANALOG_C,1,424.9
ANALOG_C,2,605.6
ANALOG_C,3,786.0
ANALOG_C,4,1051.9
ANALOG_C,5,1446.9
ANALOG_C,6,1799.7
ANALOG_C,7,2046.6
ANALOG_C,8,2316.4
ANALOG_C,9,2386.0
ANALOG_C,10,2287.6
ANALOG_C,11,2132.9
ANALOG_C,12,1891.0
ANALOG_C,13,1497.5
ANALOG_C,14,1243.0
ANALOG_C,15,789.0
ANALOG_C,16,698.7
ANALOG_C,17,487.5
ANALOG_C,18,335.1
ANALOG_C,19,250.7
ANALOG_C,20,92.6
ANALOG_C,21,113.4
ANALOG_C,22,100.3
ANALOG_C,23,120.5
ANALOG_C,24,20.4
ANALOG_C,25,0.0
ANALOG_C,26,0.0
ANALOG_C,27,51.6
ANALOG_C,28,23.2
ANALOG_C,29,0.0
ANALOG_C,30,25.8
ANALOG_D,1,828.9
ANALOG_D,2,1005.4
ANALOG_D,3,1109.9
ANALOG_D,4,1239.6
ANALOG_D,5,1315.4
ANALOG_D,6,1310.4
ANALOG_D,7,1316.8
ANALOG_D,8,1225.4
ANALOG_D,9,1089.8
ANALOG_D,10,933.6
ANALOG_D,11,749.7
ANALOG_D,12,628.6
ANALOG_D,13,500.7
ANALOG_D,14,378.8
ANALOG_D,15,304.2
ANALOG_D,16,245.9
ANALOG_D,17,226.1
ANALOG_D,18,139.3
ANALOG_D,19,107.8
ANALOG_D,20,74.0
ANALOG_D,21,8.6
ANALOG_D,22,41.5
ANALOG_D,23,32.9
ANALOG_D,24,84.9
ANALOG_D,25,12.5
ANALOG_D,26,20.4
ANALOG_D,27,8.7
ANALOG_D,28,0.0
ANALOG_D,29,33.8
ANALOG_D,30,22.7
ANALOG_E,1,1413.4
ANALOG_E,2,1831.5
ANALOG_E,3,2692.7
ANALOG_E,4,3213.0
ANALOG_E,5,4052.1
ANALOG_E,6,4632.3
ANALOG_E,7,4466.8
ANALOG_E,8,4191.6
ANALOG_E,9,3639.4
ANALOG_E,10,2856.2
ANALOG_E,11,2056.6
ANALOG_E,12,1575.1
ANALOG_E,13,1010.9
ANALOG_E,14,784.6
ANALOG_E,15,429.1
ANALOG_E,16,456.6
ANALOG_E,17,158.4
ANALOG_E,18,119.4
ANALOG_E,19,159.5
ANALOG_E,20,0.0
ANALOG_E,21,58.6
ANALOG_E,22,130.1
ANALOG_E,23,0.0
ANALOG_E,24,25.9
ANALOG_E,25,28.0
ANALOG_E,26,66.8
ANALOG_E,27,0.0
ANALOG_E,28,0.0
ANALOG_E,29,42.7
ANALOG_E,30,24.4
ANALOG_F,1,672.0
ANALOG_F,2,811.0
ANALOG_F,3,920.0
ANALOG_F,4,1143.2
ANALOG_F,5,1350.7
ANALOG_F,6,1531.3
ANALOG_F,7,1899.2
ANALOG_F,8,2095.5
ANALOG_F,9,2284.1
ANALOG_F,10,2630.1
ANALOG_F,11,2793.0
ANALOG_F,12,3078.2
ANALOG_F,13,3247.9
ANALOG_F,14,3245.0
ANALOG_F,15,3347.4
ANALOG_F,16,3269.0
ANALOG_F,17,3167.9
ANALOG_F,18,3040.2
ANALOG_F,19,2718.4
ANALOG_F,20,2444.1
ANALOG_F,21,2173.2
ANALOG_F,22,1911.4
ANALOG_F,23,1690.2
ANALOG_F,24,1471.1
ANALOG_F,25,1250.9
ANALOG_F,26,1083.2
ANALOG_F,27,875.8
ANALOG_F,28,796.9
ANALOG_F,29,592.0
ANALOG_F,30,625.9
